image,Left 1 Point Line_x,Left 1 Point Line_y,Right 1 Point Line_x,Right 1 Point Line_y,Left 2 Point Line_x,Left 2 Point Line_y,Right 2 Point Line_x,Right 2 Point Line_y,Left 3 Point Line_x,Left 3 Point Line_y,Right 3 Point Line_x,Right 3 Point Line_y,Left Baseline_x,Left Baseline_y,Right Baseline_x,Right Baseline_y
../Data/keypoint_detection/images\IMG_9930_frame_000009.jpg,0.357500,0.253131,0.624841,0.253131,0.209326,0.596667,0.791458,0.594462,0.179534,0.664580,0.825170,0.661934,0.144254,0.748810,0.865153,0.746605
../Data/keypoint_detection/images\IMG_9812_frame_000137.jpg,0.320445,0.307041,0.600834,0.302255,0.129877,0.725548,0.821746,0.710504,0.084966,0.819917,0.870299,0.804873,0.031559,0.941639,0.928561,0.924544
../Data/keypoint_detection/images\IMG_9930_frame_000057.jpg,0.341967,0.259124,0.608524,0.259124,0.200849,0.603982,0.784138,0.600454,0.169489,0.674542,0.820466,0.669250,0.134209,0.759654,0.865153,0.754362
../Data/keypoint_detection/images\IMG_9783_frame_000819.jpg,0.375176,0.223538,0.675583,0.224159,0.162209,0.676111,0.891861,0.679841,0.115863,0.778065,0.940413,0.783038,0.057380,0.907993,0.996690,0.916697
../Data/keypoint_detection/images\IMG_9930_frame_000074.jpg,0.339615,0.255596,0.606172,0.256037,0.194577,0.602659,0.782570,0.598249,0.164785,0.671896,0.817850,0.667486,0.127938,0.758331,0.862017,0.753039
../Data/keypoint_detection/images\IMG_9782_frame_000483.jpg,0.331554,0.222407,0.624959,0.221220,0.107337,0.654127,0.806529,0.650171,0.057179,0.749072,0.848525,0.745682,0.000000,0.869450,0.897679,0.866059
../Data/keypoint_detection/images\IMG_9783_frame_000839.jpg,0.373852,0.223614,0.676090,0.224981,0.163864,0.675628,0.889719,0.680415,0.115312,0.777519,0.941913,0.785041,0.057049,0.910183,0.996534,0.916338
../Data/keypoint_detection/images\IMG_9810_frame_000443.jpg,0.353107,0.244315,0.636696,0.239342,0.188692,0.643426,0.850767,0.632236,0.151174,0.730459,0.897113,0.716782,0.107036,0.838629,0.955862,0.824068
../Data/keypoint_detection/images\IMG_9927_frame_000001.jpg,0.368103,0.324832,0.626409,0.323068,0.207758,0.659989,0.775368,0.656902,0.174830,0.728784,0.805159,0.725256,0.135631,0.811691,0.841223,0.808604
../Data/keypoint_detection/images\IMG_9926_frame_000002.jpg,0.400571,0.298836,0.660150,0.297380,0.198771,0.639372,0.774848,0.642768,0.158239,0.709226,0.798133,0.713107,0.109083,0.793632,0.825729,0.799939
../Data/keypoint_detection/images\IMG_9786_frame_000046.jpg,0.341420,0.270086,0.626314,0.268956,0.140791,0.674170,0.813551,0.670214,0.096653,0.764029,0.854680,0.760073,0.045142,0.877060,0.901827,0.873103
../Data/keypoint_detection/images\IMG_9812_frame_000210.jpg,0.320003,0.306841,0.602489,0.302489,0.125794,0.723980,0.819870,0.709681,0.084966,0.819716,0.870895,0.802931,0.034207,0.941563,0.929379,0.923535
../Data/keypoint_detection/images\IMG_9918_frame_000029.jpg,0.334733,0.271572,0.609375,0.271171,0.148001,0.648423,0.796108,0.644013,0.106663,0.730207,0.837500,0.724594,0.057730,0.833240,0.888816,0.827226
../Data/keypoint_detection/images\IMG_9932_frame_000042.jpg,0.299632,0.188565,0.570893,0.187242,0.161649,0.540920,0.725339,0.533423,0.134209,0.607510,0.754347,0.597808,0.103634,0.688653,0.788842,0.675865
../Data/keypoint_detection/images\IMG_9789_frame_000012.jpg,0.384776,0.233187,0.654241,0.233871,0.196636,0.587413,0.802325,0.591516,0.154153,0.659900,0.833884,0.665371,0.108029,0.749482,0.871512,0.754953
../Data/keypoint_detection/images\IMG_9781_frame_000961.jpg,0.356116,0.121508,0.664082,0.124333,0.134421,0.562326,0.828598,0.569108,0.085267,0.653316,0.864711,0.661793,0.029091,0.768042,0.909853,0.777084
../Data/keypoint_detection/images\IMG_9924_frame_000014.jpg,0.343535,0.256919,0.630329,0.254714,0.113826,0.660430,0.792615,0.656902,0.061151,0.750834,0.829874,0.747747,0.000784,0.862846,0.874561,0.861086
../Data/keypoint_detection/images\IMG_9781_frame_000194.jpg,0.391201,0.478383,0.631426,0.475094,0.236889,0.788534,0.809093,0.782425,0.203525,0.853853,0.847463,0.847744,0.165155,0.936560,0.891671,0.929041
../Data/keypoint_detection/images\IMG_9809_frame_000384.jpg,0.309320,0.231656,0.610780,0.224046,0.107337,0.705818,0.846519,0.684645,0.061192,0.813500,0.902695,0.791459,0.006019,0.953092,0.967899,0.929356
../Data/keypoint_detection/images\IMG_9777_frame_002537.jpg,0.337004,0.264224,0.615639,0.262983,0.129956,0.678073,0.803965,0.673109,0.082599,0.769281,0.845815,0.763076,0.027533,0.882826,0.898678,0.876621
../Data/keypoint_detection/images\IMG_9925_frame_000035.jpg,0.338478,0.287193,0.607985,0.282342,0.168166,0.657806,0.780464,0.645193,0.132808,0.733481,0.816311,0.720868,0.088826,0.830499,0.859430,0.816917
../Data/keypoint_detection/images\IMG_9927_frame_000034.jpg,0.363556,0.323090,0.623135,0.322605,0.203151,0.661687,0.775778,0.660231,0.170380,0.731055,0.808549,0.729600,0.131573,0.816432,0.846494,0.814976
../Data/keypoint_detection/images\IMG_9927_frame_000039.jpg,0.361816,0.322888,0.619353,0.323129,0.199316,0.662454,0.774013,0.660691,0.166064,0.731250,0.803948,0.729246,0.127577,0.815440,0.841722,0.815440
../Data/keypoint_detection/images\IMG_9929_frame_000033.jpg,0.330457,0.277586,0.606524,0.273176,0.163213,0.651229,0.807511,0.638400,0.125439,0.732212,0.851754,0.719383,0.080537,0.835244,0.907346,0.820395
../Data/keypoint_detection/images\IMG_9781_frame_000589.jpg,0.394629,0.211523,0.681265,0.209817,0.177634,0.625470,0.852843,0.628882,0.128179,0.713036,0.891196,0.718722,0.073678,0.825052,0.935604,0.833013
../Data/keypoint_detection/images\IMG_9787_frame_001530.jpg,0.362956,0.234990,0.626510,0.232421,0.209748,0.567402,0.788837,0.562778,0.176918,0.633679,0.822579,0.627513,0.142264,0.713314,0.861793,0.707662
../Data/keypoint_detection/images\IMG_9783_frame_000860.jpg,0.376044,0.223481,0.674981,0.224046,0.164516,0.676168,0.889654,0.680124,0.116365,0.777895,0.941818,0.785242,0.056176,0.909011,0.998997,0.915792
../Data/keypoint_detection/images\IMG_9786_frame_002597.jpg,0.359308,0.245779,0.642925,0.243724,0.165063,0.620321,0.805252,0.619807,0.124937,0.699442,0.841321,0.700469,0.074780,0.798087,0.881447,0.801169
../Data/keypoint_detection/images\IMG_9812_frame_000000.jpg,0.325521,0.320518,0.601385,0.318653,0.135726,0.728331,0.819033,0.715276,0.093794,0.822203,0.867585,0.806661,0.043035,0.940942,0.924965,0.924157
../Data/keypoint_detection/images\IMG_9790_frame_001210.jpg,0.306762,0.218205,0.583730,0.214475,0.124691,0.614207,0.771318,0.601152,0.084966,0.698132,0.811043,0.680726,0.037518,0.801329,0.860698,0.783301
../Data/keypoint_detection/images\IMG_9783_frame_000813.jpg,0.377493,0.223614,0.674876,0.224298,0.165078,0.676312,0.892147,0.682466,0.117739,0.779571,0.943127,0.785041,0.057049,0.910183,0.998962,0.918389
../Data/keypoint_detection/images\IMG_9784_frame_000419.jpg,0.334348,0.207015,0.631179,0.208259,0.129105,0.653372,0.839733,0.650264,0.082759,0.752217,0.887181,0.749109,0.027586,0.877794,0.942620,0.874064
../Data/keypoint_detection/images\IMG_9810_frame_000552.jpg,0.352004,0.244129,0.637248,0.240026,0.188140,0.644856,0.850878,0.632547,0.151726,0.731019,0.898216,0.717342,0.105601,0.839064,0.954051,0.824020
../Data/keypoint_detection/images\IMG_9783_frame_000670.jpg,0.372518,0.263304,0.663946,0.264435,0.163513,0.702428,0.881629,0.707514,0.113355,0.804155,0.931786,0.810109,0.054170,0.935835,0.989969,0.942354
../Data/keypoint_detection/images\IMG_9790_frame_001453.jpg,0.408280,0.069005,0.736273,0.072113,0.196416,0.555149,0.908413,0.569447,0.153381,0.652129,0.947034,0.672022,0.102622,0.771489,0.991172,0.795113
../Data/keypoint_detection/images\IMG_9784_frame_000790.jpg,0.366349,0.200177,0.649938,0.199555,0.188692,0.581881,0.826491,0.580016,0.148967,0.658967,0.860698,0.660832,0.102622,0.757812,0.903733,0.760299
../Data/keypoint_detection/images\IMG_9786_frame_002667.jpg,0.359728,0.243431,0.638903,0.243431,0.165519,0.618918,0.804422,0.618918,0.123587,0.698491,0.840836,0.697870,0.075035,0.797958,0.879457,0.799823
../Data/keypoint_detection/images\IMG_9809_frame_000623.jpg,0.309151,0.230685,0.610095,0.222659,0.107610,0.705093,0.848113,0.684542,0.062013,0.814527,0.902421,0.791407,0.006384,0.952219,0.968994,0.927558
../Data/keypoint_detection/images\IMG_9786_frame_000064.jpg,0.321006,0.254318,0.601887,0.252623,0.132415,0.646534,0.786466,0.640882,0.090283,0.731307,0.828462,0.725090,0.043135,0.839251,0.874607,0.831339
../Data/keypoint_detection/images\IMG_9783_frame_000833.jpg,0.375066,0.223614,0.676090,0.224981,0.165078,0.676312,0.893361,0.681783,0.117739,0.778203,0.943127,0.786409,0.057049,0.910183,0.998962,0.919757
../Data/keypoint_detection/images\IMG_9782_frame_000172.jpg,0.334277,0.222659,0.626510,0.221951,0.109434,0.654743,0.805252,0.650439,0.060189,0.749792,0.847704,0.744459,0.000912,0.869501,0.896038,0.866738
../Data/keypoint_detection/images\IMG_9926_frame_000018.jpg,0.396063,0.295286,0.660268,0.293963,0.200849,0.641908,0.782834,0.644554,0.159297,0.711585,0.808706,0.715995,0.112258,0.798461,0.837714,0.804635
../Data/keypoint_detection/images\IMG_9926_frame_000025.jpg,0.394534,0.293014,0.659288,0.291074,0.199634,0.640827,0.783472,0.641313,0.156514,0.712136,0.810206,0.715047,0.109945,0.798483,0.840390,0.805275
../Data/keypoint_detection/images\IMG_9782_frame_000693.jpg,0.330902,0.222351,0.625962,0.221786,0.107337,0.653562,0.807532,0.650171,0.058182,0.749638,0.849528,0.745116,0.001003,0.870580,0.897679,0.866059
../Data/keypoint_detection/images\IMG_9809_frame_000883.jpg,0.309320,0.231656,0.609777,0.222916,0.108340,0.704688,0.846519,0.684645,0.061192,0.812935,0.903698,0.791459,0.007022,0.952527,0.968903,0.928791
../Data/keypoint_detection/images\IMG_9809_frame_000043.jpg,0.309320,0.231091,0.609912,0.224611,0.107337,0.706686,0.847522,0.685775,0.061192,0.815195,0.904701,0.793154,0.007022,0.953092,0.970909,0.930486
../Data/keypoint_detection/images\IMG_9812_frame_000248.jpg,0.321358,0.306821,0.600748,0.302602,0.129406,0.723641,0.820437,0.709512,0.085267,0.819716,0.869591,0.803327,0.033104,0.941789,0.929780,0.922574
../Data/keypoint_detection/images\IMG_9932_frame_000017.jpg,0.318643,0.257117,0.581673,0.255662,0.179799,0.599109,0.737765,0.590378,0.153064,0.665082,0.767949,0.654410,0.120294,0.746093,0.805894,0.733966
../Data/keypoint_detection/images\IMG_9787_frame_000450.jpg,0.358474,0.234482,0.628320,0.232786,0.206999,0.567356,0.790829,0.562835,0.174898,0.633479,0.824936,0.627262,0.138785,0.714296,0.863056,0.709775
../Data/keypoint_detection/images\IMG_9782_frame_000688.jpg,0.334047,0.222105,0.625962,0.221220,0.108340,0.654446,0.808535,0.650171,0.058182,0.748827,0.848661,0.744551,0.000000,0.868885,0.898818,0.865494
../Data/keypoint_detection/images\IMG_9783_frame_000859.jpg,0.376280,0.223614,0.673662,0.223614,0.166291,0.676312,0.892147,0.681099,0.116525,0.778203,0.939485,0.785041,0.057049,0.908815,0.998962,0.919073
../Data/keypoint_detection/images\IMG_9782_frame_000452.jpg,0.331950,0.222659,0.626101,0.221631,0.108522,0.653716,0.807579,0.650633,0.057453,0.749278,0.848616,0.745168,0.000000,0.868987,0.898774,0.865905
../Data/keypoint_detection/images\IMG_9783_frame_000752.jpg,0.375176,0.224931,0.675984,0.226061,0.164516,0.676487,0.889654,0.681254,0.114359,0.778780,0.937805,0.785242,0.056176,0.908765,0.995987,0.918618
../Data/keypoint_detection/images\IMG_9927_frame_000022.jpg,0.368623,0.323950,0.625625,0.322627,0.210257,0.663076,0.784776,0.660430,0.178113,0.731871,0.815762,0.730107,0.139550,0.816542,0.855746,0.815660
../Data/keypoint_detection/images\IMG_9784_frame_001271.jpg,0.396107,0.393027,0.662076,0.393592,0.204506,0.773939,0.864575,0.776200,0.161371,0.861538,0.913730,0.864363,0.109343,0.973438,0.965893,0.977394
../Data/keypoint_detection/images\IMG_9929_frame_000122.jpg,0.338478,0.258088,0.619618,0.257117,0.166863,0.637432,0.820555,0.627730,0.128055,0.719413,0.864605,0.709226,0.083211,0.822253,0.920660,0.811581
../Data/keypoint_detection/images\IMG_9783_frame_000654.jpg,0.374843,0.282828,0.662579,0.282771,0.163239,0.720826,0.883270,0.725131,0.115818,0.822553,0.932516,0.827885,0.055629,0.954274,0.992704,0.960439
../Data/keypoint_detection/images\IMG_9781_frame_000163.jpg,0.392304,0.478822,0.631654,0.475820,0.236586,0.788107,0.809852,0.782553,0.203979,0.853896,0.847008,0.847488,0.166065,0.936347,0.890989,0.929084
../Data/keypoint_detection/images\IMG_9783_frame_000801.jpg,0.376280,0.224422,0.675583,0.224422,0.166622,0.675131,0.890758,0.679482,0.116967,0.778327,0.939310,0.784544,0.058483,0.907634,0.997793,0.915716
../Data/keypoint_detection/images\IMG_9809_frame_000609.jpg,0.308810,0.231450,0.610177,0.223733,0.107776,0.704590,0.848943,0.684262,0.060520,0.814818,0.902173,0.792147,0.007461,0.951892,0.970154,0.927604
../Data/keypoint_detection/images\IMG_9812_frame_000034.jpg,0.321918,0.313083,0.601887,0.309487,0.128585,0.731810,0.819843,0.715883,0.083899,0.825830,0.870503,0.809903,0.031918,0.949136,0.928868,0.930640
../Data/keypoint_detection/images\IMG_9809_frame_000090.jpg,0.310095,0.229909,0.610095,0.224714,0.108522,0.705664,0.847202,0.685056,0.061101,0.814585,0.903333,0.792949,0.005472,0.953760,0.970818,0.929613
../Data/keypoint_detection/images\IMG_9810_frame_000578.jpg,0.353217,0.242761,0.637248,0.238658,0.186926,0.644172,0.850878,0.631179,0.151726,0.730335,0.898216,0.715974,0.108029,0.837697,0.952837,0.822652
../Data/keypoint_detection/images\IMG_9809_frame_000747.jpg,0.307865,0.230639,0.609375,0.223179,0.107036,0.705592,0.847723,0.684456,0.060690,0.814121,0.903999,0.791120,0.005517,0.952753,0.970207,0.927265
../Data/keypoint_detection/images\IMG_9930_frame_000095.jpg,0.342751,0.249863,0.609161,0.251186,0.194577,0.599131,0.783208,0.595603,0.163217,0.668809,0.818487,0.664840,0.124655,0.756126,0.862801,0.751716
../Data/keypoint_detection/images\IMG_9787_frame_000627.jpg,0.358474,0.235047,0.628320,0.232786,0.206999,0.567921,0.790829,0.563965,0.175901,0.634044,0.824936,0.627827,0.138785,0.715426,0.863056,0.709209
../Data/keypoint_detection/images\IMG_9781_frame_000473.jpg,0.376187,0.180921,0.642270,0.179887,0.230300,0.505028,0.793662,0.502444,0.202774,0.564474,0.823941,0.563440,0.167908,0.639427,0.856972,0.636842
../Data/keypoint_detection/images\IMG_9781_frame_000573.jpg,0.397040,0.211936,0.688981,0.210526,0.159316,0.633459,0.844960,0.640038,0.105933,0.725094,0.880827,0.733553,0.042540,0.839286,0.924202,0.852913
../Data/keypoint_detection/images\IMG_9781_frame_000230.jpg,0.392035,0.478853,0.633095,0.476034,0.236889,0.789004,0.809093,0.781955,0.204359,0.853853,0.846629,0.847274,0.165989,0.935620,0.890837,0.929511
../Data/keypoint_detection/images\IMG_9924_frame_000035.jpg,0.352923,0.254959,0.638428,0.251224,0.120509,0.659964,0.798890,0.657296,0.067353,0.749610,0.837784,0.748009,0.005692,0.862200,0.880473,0.862330
../Data/keypoint_detection/images\IMG_9812_frame_000331.jpg,0.321358,0.306821,0.601751,0.303167,0.128754,0.723338,0.819434,0.709512,0.085267,0.819716,0.870594,0.803327,0.032101,0.942354,0.929780,0.922574
../Data/keypoint_detection/images\IMG_9784_frame_001261.jpg,0.407628,0.361378,0.677474,0.363639,0.210008,0.741160,0.868072,0.745682,0.166873,0.826498,0.908714,0.832715,0.109694,0.935008,0.959874,0.944050
../Data/keypoint_detection/images\IMG_9783_frame_000802.jpg,0.377493,0.223614,0.676090,0.223614,0.166291,0.676312,0.893361,0.679047,0.117739,0.777519,0.940699,0.783674,0.060690,0.906764,0.997748,0.917021
../Data/keypoint_detection/images\IMG_9812_frame_000351.jpg,0.321006,0.307689,0.602890,0.302037,0.129406,0.723641,0.820573,0.709512,0.087274,0.819151,0.869591,0.802762,0.033104,0.941224,0.927774,0.923139
../Data/keypoint_detection/images\IMG_9926_frame_000012.jpg,0.398415,0.297050,0.660121,0.295286,0.201486,0.641467,0.780856,0.643672,0.160718,0.710262,0.804002,0.714672,0.112111,0.796697,0.835362,0.801989
../Data/keypoint_detection/images\IMG_9924_frame_000029.jpg,0.350552,0.254692,0.634720,0.252752,0.117285,0.661201,0.796476,0.657806,0.062955,0.751429,0.834421,0.749004,0.002587,0.863486,0.876678,0.863971
../Data/keypoint_detection/images\IMG_9809_frame_000237.jpg,0.309320,0.230526,0.609912,0.224611,0.107337,0.705253,0.847522,0.684645,0.061192,0.812935,0.902695,0.790894,0.007022,0.954223,0.969906,0.928226
../Data/keypoint_detection/images\IMG_9930_frame_000029.jpg,0.352943,0.256919,0.619353,0.257360,0.210894,0.600895,0.793399,0.597808,0.181102,0.669250,0.829463,0.665722,0.146606,0.753480,0.871425,0.750393
../Data/keypoint_detection/images\IMG_9922_frame_000035.jpg,0.333304,0.260998,0.597637,0.258573,0.193597,0.588922,0.772702,0.579220,0.165579,0.654410,0.806824,0.644708,0.130221,0.735421,0.849944,0.723294
../Data/keypoint_detection/images\IMG_9782_frame_000165.jpg,0.334348,0.222916,0.624824,0.221935,0.111449,0.654353,0.810205,0.650886,0.060690,0.750352,0.849930,0.745379,0.003310,0.869450,0.900689,0.865983
../Data/keypoint_detection/images\IMG_9812_frame_000322.jpg,0.321918,0.305890,0.600975,0.302808,0.128585,0.724103,0.818931,0.709717,0.084811,0.819665,0.870503,0.804252,0.033742,0.941943,0.927956,0.923448
../Data/keypoint_detection/images\IMG_9929_frame_000172.jpg,0.344319,0.249863,0.624841,0.247217,0.168705,0.633088,0.827111,0.626032,0.128575,0.716436,0.872993,0.708498,0.082319,0.821834,0.927089,0.812573
../Data/keypoint_detection/images\IMG_9777_frame_001060.jpg,0.348568,0.260501,0.622797,0.259260,0.159141,0.656357,0.812225,0.651393,0.116189,0.741981,0.854075,0.736396,0.065529,0.849321,0.904736,0.842496
../Data/keypoint_detection/images\IMG_9926_frame_000031.jpg,0.391947,0.290589,0.657563,0.289619,0.194459,0.639372,0.780885,0.641798,0.150477,0.710196,0.805894,0.714077,0.103046,0.798968,0.836078,0.803334
../Data/keypoint_detection/images\IMG_9924_frame_000022.jpg,0.347102,0.257117,0.632132,0.254409,0.115119,0.661201,0.794262,0.658008,0.062092,0.752399,0.831834,0.748236,0.000862,0.864173,0.876678,0.864659
